Tarih,trend
2016-04-17,3
2016-04-24,4
2016-05-01,7
2016-05-08,3
2016-05-15,3
2016-05-22,4
2016-05-29,9
2016-06-05,4
2016-06-12,2
2016-06-19,5
2016-06-26,4
2016-07-03,15
2016-07-10,5
2016-07-17,2
2016-07-24,3
2016-07-31,6
2016-08-07,2
2016-08-14,2
2016-08-21,2
2016-08-28,5
2016-09-04,6
2016-09-11,1
2016-09-18,3
2016-09-25,3
2016-10-02,5
2016-10-09,2
2016-10-16,3
2016-10-23,3
2016-10-30,7
2016-11-06,4
2016-11-13,4
2016-11-20,3
2016-11-27,5
2016-12-04,10
2016-12-11,4
2016-12-18,4
2016-12-25,6
2017-01-01,20
2017-01-08,6
2017-01-15,5
2017-01-22,5
2017-01-29,13
2017-02-05,5
2017-02-12,3
2017-02-19,2
2017-02-26,13
2017-03-05,4
2017-03-12,4
2017-03-19,3
2017-03-26,5
2017-04-02,14
2017-04-09,5
2017-04-16,4
2017-04-23,5
2017-04-30,17
2017-05-07,5
2017-05-14,5
2017-05-21,5
2017-05-28,14
2017-06-04,20
2017-06-11,6
2017-06-18,4
2017-06-25,9
2017-07-02,22
2017-07-09,3
2017-07-16,4
2017-07-23,3
2017-07-30,9
2017-08-06,3
2017-08-13,3
2017-08-20,4
2017-08-27,2
2017-09-03,7
2017-09-10,3
2017-09-17,3
2017-09-24,4
2017-10-01,10
2017-10-08,3
2017-10-15,4
2017-10-22,4
2017-10-29,20
2017-11-05,7
2017-11-12,9
2017-11-19,5
2017-11-26,9
2017-12-03,23
2017-12-10,10
2017-12-17,12
2017-12-24,16
2017-12-31,37
2018-01-07,9
2018-01-14,6
2018-01-21,4
2018-01-28,10
2018-02-04,9
2018-02-11,4
2018-02-18,5
2018-02-25,9
2018-03-04,12
2018-03-11,5
2018-03-18,4
2018-03-25,7
2018-04-01,14
2018-04-08,5
2018-04-15,5
2018-04-22,5
2018-04-29,17
2018-05-06,7
2018-05-13,10
2018-05-20,12
2018-05-27,15
2018-06-03,36
2018-06-10,9
2018-06-17,10
2018-06-24,13
2018-07-01,59
2018-07-08,10
2018-07-15,7
2018-07-22,8
2018-07-29,28
2018-08-05,13
2018-08-12,11
2018-08-19,6
2018-08-26,14
2018-09-02,40
2018-09-09,15
2018-09-16,17
2018-09-23,15
2018-09-30,67
2018-10-07,27
2018-10-14,27
2018-10-21,21
2018-10-28,48
2018-11-04,59
2018-11-11,18
2018-11-18,18
2018-11-25,26
2018-12-02,63
2018-12-09,18
2018-12-16,25
2018-12-23,31
2018-12-30,100
2019-01-06,15
2019-01-13,14
2019-01-20,14
2019-01-27,16
2019-02-03,25
2019-02-10,9
2019-02-17,6
2019-02-24,12
2019-03-03,24
2019-03-10,10
2019-03-17,9
2019-03-24,9
2019-03-31,18
2019-04-07,9
2019-04-14,8
2019-04-21,9
2019-04-28,35
2019-05-05,10
2019-05-12,10
2019-05-19,8
2019-05-26,12
2019-06-02,30
2019-06-09,13
2019-06-16,13
2019-06-23,13
2019-06-30,54
2019-07-07,8
2019-07-14,6
2019-07-21,8
2019-07-28,12
2019-08-04,17
2019-08-11,6
2019-08-18,5
2019-08-25,10
2019-09-01,21
2019-09-08,7
2019-09-15,5
2019-09-22,6
2019-09-29,31
2019-10-06,9
2019-10-13,7
2019-10-20,7
2019-10-27,11
2019-11-03,33
2019-11-10,7
2019-11-17,8
2019-11-24,9
2019-12-01,37
2019-12-08,9
2019-12-15,11
2019-12-22,18
2019-12-29,52
2020-01-05,11
2020-01-12,8
2020-01-19,9
2020-01-26,10
2020-02-02,17
2020-02-09,6
2020-02-16,6
2020-02-23,5
2020-03-01,17
2020-03-08,5
2020-03-15,4
2020-03-22,3
2020-03-29,11
2020-04-05,4
2020-04-12,5
2020-04-19,5
2020-04-26,9
2020-05-03,17
2020-05-10,8
2020-05-17,6
2020-05-24,10
2020-05-31,29
2020-06-07,11
2020-06-14,11
2020-06-21,12
2020-06-28,44
2020-07-05,9
2020-07-12,5
2020-07-19,6
2020-07-26,6
2020-08-02,19
2020-08-09,7
2020-08-16,5
2020-08-23,6
2020-08-30,18
2020-09-06,8
2020-09-13,6
2020-09-20,6
2020-09-27,13
2020-10-04,18
2020-10-11,6
2020-10-18,6
2020-10-25,11
2020-11-01,30
2020-11-08,10
2020-11-15,12
2020-11-22,11
2020-11-29,50
2020-12-06,14
2020-12-13,15
2020-12-20,19
2020-12-27,39
2021-01-03,49
2021-01-10,9
2021-01-17,10
2021-01-24,13
2021-01-31,22
2021-02-07,9
2021-02-14,6
2021-02-21,7
2021-02-28,24
2021-03-07,6
2021-03-14,5
2021-03-21,7
2021-03-28,13
2021-04-04,24
2021-04-11,17
